complaint,category,priority,group_id
"hey, how do I enable two-factor authentication on my profile? can someone check?",account_access,low,train-account_access-low-01
"How do I enable two-factor authentication on my profile? I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,low,train-account_access-low-01
Can you look into this for me: how do I enable two-factor authentication on my profile?,account_access,low,train-account_access-low-01
Where can I view my recent account login history?,account_access,low,train-account_access-low-02
"Hi support, where can I view my recent account login history?",account_access,low,train-account_access-low-02
"hey, where can I view my recent account login history? can someone check?",account_access,low,train-account_access-low-02
"Where can I view my recent account login history? I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,low,train-account_access-low-02
Can you look into this for me: where can I view my recent account login history?,account_access,low,train-account_access-low-02
I would like instructions for changing my display name.,account_access,low,train-account_access-low-03
"Hi support, i would like instructions for changing my display name.",account_access,low,train-account_access-low-03
"hey, i would like instructions for changing my display name. can someone check?",account_access,low,train-account_access-low-03
"I would like instructions for changing my display name. I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,low,train-account_access-low-03
Can you look into this for me: i would like instructions for changing my display name.,account_access,low,train-account_access-low-03
Can I remove an old phone number from my account settings?,account_access,low,train-account_access-low-04
"Hi support, can I remove an old phone number from my account settings?",account_access,low,train-account_access-low-04
"hey, can I remove an old phone number from my account settings? can someone check?",account_access,low,train-account_access-low-04
"Can I remove an old phone number from my account settings? I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,low,train-account_access-low-04
Can you look into this for me: can I remove an old phone number from my account settings?,account_access,low,train-account_access-low-04
What are the password length and character requirements?,account_access,low,train-account_access-low-05
"Hi support, what are the password length and character requirements?",account_access,low,train-account_access-low-05
"hey, what are the password length and character requirements? can someone check?",account_access,low,train-account_access-low-05
"What are the password length and character requirements? I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,low,train-account_access-low-05
Can you look into this for me: what are the password length and character requirements?,account_access,low,train-account_access-low-05
How can I close an unused account that I can still access?,account_access,low,train-account_access-low-06
"Hi support, how can I close an unused account that I can still access?",account_access,low,train-account_access-low-06
"hey, how can I close an unused account that I can still access? can someone check?",account_access,low,train-account_access-low-06
"How can I close an unused account that I can still access? I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,low,train-account_access-low-06
Can you look into this for me: how can I close an unused account that I can still access?,account_access,low,train-account_access-low-06
Can I choose a different username without opening a new account?,account_access,low,train-account_access-low-07
"Hi support, can I choose a different username without opening a new account?",account_access,low,train-account_access-low-07
"hey, can I choose a different username without opening a new account? can someone check?",account_access,low,train-account_access-low-07
"Can I choose a different username without opening a new account? I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,low,train-account_access-low-07
Can you look into this for me: can I choose a different username without opening a new account?,account_access,low,train-account_access-low-07
Where is the setting for routine sign-in notifications?,account_access,low,train-account_access-low-08
"Hi support, where is the setting for routine sign-in notifications?",account_access,low,train-account_access-low-08
"hey, where is the setting for routine sign-in notifications? can someone check?",account_access,low,train-account_access-low-08
"Where is the setting for routine sign-in notifications? I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,low,train-account_access-low-08
Can you look into this for me: where is the setting for routine sign-in notifications?,account_access,low,train-account_access-low-08
The password reset email has not arrived after several attempts.,account_access,medium,train-account_access-medium-01
"Hi support, the password reset email has not arrived after several attempts.",account_access,medium,train-account_access-medium-01
"hey, the password reset email has not arrived after several attempts. can someone check?",account_access,medium,train-account_access-medium-01
"The password reset email has not arrived after several attempts. I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,medium,train-account_access-medium-01
Can you look into this for me: the password reset email has not arrived after several attempts.,account_access,medium,train-account_access-medium-01
My correct verification code keeps being rejected on my own account.,account_access,medium,train-account_access-medium-02
"Hi support, my correct verification code keeps being rejected on my own account.",account_access,medium,train-account_access-medium-02
"hey, my correct verification code keeps being rejected on my own account. can someone check?",account_access,medium,train-account_access-medium-02
"My correct verification code keeps being rejected on my own account. I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,medium,train-account_access-medium-02
Can you look into this for me: my correct verification code keeps being rejected on my own account.,account_access,medium,train-account_access-medium-02
I am temporarily locked out after entering the wrong password too many times.,account_access,medium,train-account_access-medium-03
"Hi support, i am temporarily locked out after entering the wrong password too many times.",account_access,medium,train-account_access-medium-03
"hey, i am temporarily locked out after entering the wrong password too many times. can someone check?",account_access,medium,train-account_access-medium-03
"I am temporarily locked out after entering the wrong password too many times. I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,medium,train-account_access-medium-03
Can you look into this for me: i am temporarily locked out after entering the wrong password too many times.,account_access,medium,train-account_access-medium-03
The sign-in page loops back to login even though my password is correct.,account_access,medium,train-account_access-medium-04
"Hi support, the sign-in page loops back to login even though my password is correct.",account_access,medium,train-account_access-medium-04
"hey, the sign-in page loops back to login even though my password is correct. can someone check?",account_access,medium,train-account_access-medium-04
"The sign-in page loops back to login even though my password is correct. I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,medium,train-account_access-medium-04
Can you look into this for me: the sign-in page loops back to login even though my password is correct.,account_access,medium,train-account_access-medium-04
I replaced my phone and need help restoring my authenticator access.,account_access,medium,train-account_access-medium-05
"Hi support, i replaced my phone and need help restoring my authenticator access.",account_access,medium,train-account_access-medium-05
"hey, i replaced my phone and need help restoring my authenticator access. can someone check?",account_access,medium,train-account_access-medium-05
"I replaced my phone and need help restoring my authenticator access. I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,medium,train-account_access-medium-05
Can you look into this for me: i replaced my phone and need help restoring my authenticator access.,account_access,medium,train-account_access-medium-05
My profile email will not update and I need it corrected this week.,account_access,medium,train-account_access-medium-06
"Hi support, my profile email will not update and I need it corrected this week.",account_access,medium,train-account_access-medium-06
"hey, my profile email will not update and I need it corrected this week. can someone check?",account_access,medium,train-account_access-medium-06
"My profile email will not update and I need it corrected this week. I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,medium,train-account_access-medium-06
Can you look into this for me: my profile email will not update and I need it corrected this week.,account_access,medium,train-account_access-medium-06
I can log in on the website but the mobile sign-in rejects the same credentials.,account_access,medium,train-account_access-medium-07
"Hi support, i can log in on the website but the mobile sign-in rejects the same credentials.",account_access,medium,train-account_access-medium-07
"hey, i can log in on the website but the mobile sign-in rejects the same credentials. can someone check?",account_access,medium,train-account_access-medium-07
"I can log in on the website but the mobile sign-in rejects the same credentials. I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,medium,train-account_access-medium-07
Can you look into this for me: i can log in on the website but the mobile sign-in rejects the same credentials.,account_access,medium,train-account_access-medium-07
The account recovery form cannot verify my legitimate identity document.,account_access,medium,train-account_access-medium-08
"Hi support, the account recovery form cannot verify my legitimate identity document.",account_access,medium,train-account_access-medium-08
"hey, the account recovery form cannot verify my legitimate identity document. can someone check?",account_access,medium,train-account_access-medium-08
"The account recovery form cannot verify my legitimate identity document. I checked the help page and tried the usual steps, but I still need a clear answer from support.",account_access,medium,train-account_access-medium-08
Can you look into this for me: the account recovery form cannot verify my legitimate identity document.,account_access,medium,train-account_access-medium-08
A transfer of USD 90000 left my bank account without my permission.,billing_payment,high,train-billing_payment-high-01
"Hi support, a transfer of USD 90000 left my bank account without my permission.",billing_payment,high,train-billing_payment-high-01
"hey, a transfer of USD 90000 left my bank account without my permission. can someone check?",billing_payment,high,train-billing_payment-high-01
"A transfer of USD 90000 left my bank account without my permission. I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,high,train-billing_payment-high-01
Can you look into this for me: a transfer of USD 90000 left my bank account without my permission.,billing_payment,high,train-billing_payment-high-01
My stolen card is being used for several payments that are not mine.,billing_payment,high,train-billing_payment-high-02
"Hi support, my stolen card is being used for several payments that are not mine.",billing_payment,high,train-billing_payment-high-02
"hey, my stolen card is being used for several payments that are not mine. can someone check?",billing_payment,high,train-billing_payment-high-02
"My stolen card is being used for several payments that are not mine. I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,high,train-billing_payment-high-02
Can you look into this for me: my stolen card is being used for several payments that are not mine.,billing_payment,high,train-billing_payment-high-02
"RM75,000 was deducted from my account and I never approved the transaction.",billing_payment,high,train-billing_payment-high-03
"Hi support, rM75,000 was deducted from my account and I never approved the transaction.",billing_payment,high,train-billing_payment-high-03
"hey, rM75,000 was deducted from my account and I never approved the transaction. can someone check?",billing_payment,high,train-billing_payment-high-03
"RM75,000 was deducted from my account and I never approved the transaction. I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,high,train-billing_payment-high-03
"Can you look into this for me: rM75,000 was deducted from my account and I never approved the transaction.",billing_payment,high,train-billing_payment-high-03
Someone made a fraudulent payment using my saved card details.,billing_payment,high,train-billing_payment-high-04
"Hi support, someone made a fraudulent payment using my saved card details.",billing_payment,high,train-billing_payment-high-04
"hey, someone made a fraudulent payment using my saved card details. can someone check?",billing_payment,high,train-billing_payment-high-04
"Someone made a fraudulent payment using my saved card details. I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,high,train-billing_payment-high-04
Can you look into this for me: someone made a fraudulent payment using my saved card details.,billing_payment,high,train-billing_payment-high-04
The service withdrew $100000 from my bank even though I authorised no purchase.,billing_payment,high,train-billing_payment-high-05
"Hi support, the service withdrew $100000 from my bank even though I authorised no purchase.",billing_payment,high,train-billing_payment-high-05
"hey, the service withdrew $100000 from my bank even though I authorised no purchase. can someone check?",billing_payment,high,train-billing_payment-high-05
"The service withdrew $100000 from my bank even though I authorised no purchase. I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,high,train-billing_payment-high-05
Can you look into this for me: the service withdrew $100000 from my bank even though I authorised no purchase.,billing_payment,high,train-billing_payment-high-05
My card was charged repeatedly and the total has emptied my account.,billing_payment,high,train-billing_payment-high-06
"Hi support, my card was charged repeatedly and the total has emptied my account.",billing_payment,high,train-billing_payment-high-06
"hey, my card was charged repeatedly and the total has emptied my account. can someone check?",billing_payment,high,train-billing_payment-high-06
"My card was charged repeatedly and the total has emptied my account. I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,high,train-billing_payment-high-06
Can you look into this for me: my card was charged repeatedly and the total has emptied my account.,billing_payment,high,train-billing_payment-high-06
A bank transfer I never made removed RM 1 million from my balance.,billing_payment,high,train-billing_payment-high-07
"Hi support, a bank transfer I never made removed RM 1 million from my balance.",billing_payment,high,train-billing_payment-high-07
"hey, a bank transfer I never made removed RM 1 million from my balance. can someone check?",billing_payment,high,train-billing_payment-high-07
"A bank transfer I never made removed RM 1 million from my balance. I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,high,train-billing_payment-high-07
Can you look into this for me: a bank transfer I never made removed RM 1 million from my balance.,billing_payment,high,train-billing_payment-high-07
There is a huge cash withdrawal on the statement that I did not authorise.,billing_payment,high,train-billing_payment-high-08
"Hi support, there is a huge cash withdrawal on the statement that I did not authorise.",billing_payment,high,train-billing_payment-high-08
"hey, there is a huge cash withdrawal on the statement that I did not authorise. can someone check?",billing_payment,high,train-billing_payment-high-08
"There is a huge cash withdrawal on the statement that I did not authorise. I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,high,train-billing_payment-high-08
Can you look into this for me: there is a huge cash withdrawal on the statement that I did not authorise.,billing_payment,high,train-billing_payment-high-08
What payment methods do you accept?,billing_payment,low,train-billing_payment-low-01
"Hi support, what payment methods do you accept?",billing_payment,low,train-billing_payment-low-01
"hey, what payment methods do you accept? can someone check?",billing_payment,low,train-billing_payment-low-01
"What payment methods do you accept? I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,low,train-billing_payment-low-01
Can you look into this for me: what payment methods do you accept?,billing_payment,low,train-billing_payment-low-01
Can I pay an invoice using a debit card?,billing_payment,low,train-billing_payment-low-02
"Hi support, can I pay an invoice using a debit card?",billing_payment,low,train-billing_payment-low-02
"hey, can I pay an invoice using a debit card? can someone check?",billing_payment,low,train-billing_payment-low-02
"Can I pay an invoice using a debit card? I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,low,train-billing_payment-low-02
Can you look into this for me: can I pay an invoice using a debit card?,billing_payment,low,train-billing_payment-low-02
Where can I download another copy of my receipt?,billing_payment,low,train-billing_payment-low-03
"Hi support, where can I download another copy of my receipt?",billing_payment,low,train-billing_payment-low-03
"hey, where can I download another copy of my receipt? can someone check?",billing_payment,low,train-billing_payment-low-03
"Where can I download another copy of my receipt? I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,low,train-billing_payment-low-03
Can you look into this for me: where can I download another copy of my receipt?,billing_payment,low,train-billing_payment-low-03
How do I replace the saved card used for future payments?,billing_payment,low,train-billing_payment-low-04
"Hi support, how do I replace the saved card used for future payments?",billing_payment,low,train-billing_payment-low-04
"hey, how do I replace the saved card used for future payments? can someone check?",billing_payment,low,train-billing_payment-low-04
"How do I replace the saved card used for future payments? I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,low,train-billing_payment-low-04
Can you look into this for me: how do I replace the saved card used for future payments?,billing_payment,low,train-billing_payment-low-04
Which currencies can be used at checkout?,billing_payment,low,train-billing_payment-low-05
"Hi support, which currencies can be used at checkout?",billing_payment,low,train-billing_payment-low-05
"hey, which currencies can be used at checkout? can someone check?",billing_payment,low,train-billing_payment-low-05
"Which currencies can be used at checkout? I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,low,train-billing_payment-low-05
Can you look into this for me: which currencies can be used at checkout?,billing_payment,low,train-billing_payment-low-05
When does the normal monthly billing cycle begin?,billing_payment,low,train-billing_payment-low-06
"Hi support, when does the normal monthly billing cycle begin?",billing_payment,low,train-billing_payment-low-06
"hey, when does the normal monthly billing cycle begin? can someone check?",billing_payment,low,train-billing_payment-low-06
"When does the normal monthly billing cycle begin? I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,low,train-billing_payment-low-06
Can you look into this for me: when does the normal monthly billing cycle begin?,billing_payment,low,train-billing_payment-low-06
Is there a minimum amount for paying by bank transfer?,billing_payment,low,train-billing_payment-low-07
"Hi support, is there a minimum amount for paying by bank transfer?",billing_payment,low,train-billing_payment-low-07
"hey, is there a minimum amount for paying by bank transfer? can someone check?",billing_payment,low,train-billing_payment-low-07
"Is there a minimum amount for paying by bank transfer? I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,low,train-billing_payment-low-07
Can you look into this for me: is there a minimum amount for paying by bank transfer?,billing_payment,low,train-billing_payment-low-07
Can you explain where to find the billing date on an invoice?,billing_payment,low,train-billing_payment-low-08
"Hi support, can you explain where to find the billing date on an invoice?",billing_payment,low,train-billing_payment-low-08
"hey, can you explain where to find the billing date on an invoice? can someone check?",billing_payment,low,train-billing_payment-low-08
"Can you explain where to find the billing date on an invoice? I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,low,train-billing_payment-low-08
Can you look into this for me: can you explain where to find the billing date on an invoice?,billing_payment,low,train-billing_payment-low-08
My refund was approved last week but it still has not reached my card.,billing_payment,medium,train-billing_payment-medium-01
"Hi support, my refund was approved last week but it still has not reached my card.",billing_payment,medium,train-billing_payment-medium-01
"hey, my refund was approved last week but it still has not reached my card. can someone check?",billing_payment,medium,train-billing_payment-medium-01
"My refund was approved last week but it still has not reached my card. I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,medium,train-billing_payment-medium-01
Can you look into this for me: my refund was approved last week but it still has not reached my card.,billing_payment,medium,train-billing_payment-medium-01
Payment fails each time I try to finish the order.,billing_payment,medium,train-billing_payment-medium-02
"Hi support, payment fails each time I try to finish the order.",billing_payment,medium,train-billing_payment-medium-02
"hey, payment fails each time I try to finish the order. can someone check?",billing_payment,medium,train-billing_payment-medium-02
"Payment fails each time I try to finish the order. I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,medium,train-billing_payment-medium-02
Can you look into this for me: payment fails each time I try to finish the order.,billing_payment,medium,train-billing_payment-medium-02
I was charged twice for a small purchase and need one charge reversed.,billing_payment,medium,train-billing_payment-medium-03
"Hi support, i was charged twice for a small purchase and need one charge reversed.",billing_payment,medium,train-billing_payment-medium-03
"hey, i was charged twice for a small purchase and need one charge reversed. can someone check?",billing_payment,medium,train-billing_payment-medium-03
"I was charged twice for a small purchase and need one charge reversed. I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,medium,train-billing_payment-medium-03
Can you look into this for me: i was charged twice for a small purchase and need one charge reversed.,billing_payment,medium,train-billing_payment-medium-03
The invoice total does not match the price shown at checkout.,billing_payment,medium,train-billing_payment-medium-04
"Hi support, the invoice total does not match the price shown at checkout.",billing_payment,medium,train-billing_payment-medium-04
"hey, the invoice total does not match the price shown at checkout. can someone check?",billing_payment,medium,train-billing_payment-medium-04
"The invoice total does not match the price shown at checkout. I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,medium,train-billing_payment-medium-04
Can you look into this for me: the invoice total does not match the price shown at checkout.,billing_payment,medium,train-billing_payment-medium-04
A cancelled monthly subscription was billed again this month.,billing_payment,medium,train-billing_payment-medium-05
"Hi support, a cancelled monthly subscription was billed again this month.",billing_payment,medium,train-billing_payment-medium-05
"hey, a cancelled monthly subscription was billed again this month. can someone check?",billing_payment,medium,train-billing_payment-medium-05
"A cancelled monthly subscription was billed again this month. I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,medium,train-billing_payment-medium-05
Can you look into this for me: a cancelled monthly subscription was billed again this month.,billing_payment,medium,train-billing_payment-medium-05
My promocode worked on screen but the discount is missing from the receipt.,billing_payment,medium,train-billing_payment-medium-06
"Hi support, my promocode worked on screen but the discount is missing from the receipt.",billing_payment,medium,train-billing_payment-medium-06
"hey, my promocode worked on screen but the discount is missing from the receipt. can someone check?",billing_payment,medium,train-billing_payment-medium-06
"My promocode worked on screen but the discount is missing from the receipt. I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,medium,train-billing_payment-medium-06
Can you look into this for me: my promocode worked on screen but the discount is missing from the receipt.,billing_payment,medium,train-billing_payment-medium-06
The refund money has not arrived in my account even though the return was accepted.,billing_payment,medium,train-billing_payment-medium-07
"Hi support, the refund money has not arrived in my account even though the return was accepted.",billing_payment,medium,train-billing_payment-medium-07
"hey, the refund money has not arrived in my account even though the return was accepted. can someone check?",billing_payment,medium,train-billing_payment-medium-07
"The refund money has not arrived in my account even though the return was accepted. I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,medium,train-billing_payment-medium-07
Can you look into this for me: the refund money has not arrived in my account even though the return was accepted.,billing_payment,medium,train-billing_payment-medium-07
I am still waiting for a refund that the merchant marked as processed.,billing_payment,medium,train-billing_payment-medium-08
"Hi support, i am still waiting for a refund that the merchant marked as processed.",billing_payment,medium,train-billing_payment-medium-08
"hey, i am still waiting for a refund that the merchant marked as processed. can someone check?",billing_payment,medium,train-billing_payment-medium-08
"I am still waiting for a refund that the merchant marked as processed. I checked the help page and tried the usual steps, but I still need a clear answer from support.",billing_payment,medium,train-billing_payment-medium-08
Can you look into this for me: i am still waiting for a refund that the merchant marked as processed.,billing_payment,medium,train-billing_payment-medium-08
My temperature-sensitive medicine never arrived and the replacement is needed today.,delivery_order,high,train-delivery_order-high-01
"Hi support, my temperature-sensitive medicine never arrived and the replacement is needed today.",delivery_order,high,train-delivery_order-high-01
"hey, my temperature-sensitive medicine never arrived and the replacement is needed today. can someone check?",delivery_order,high,train-delivery_order-high-01
"My temperature-sensitive medicine never arrived and the replacement is needed today. I checked the help page and tried the usual steps, but I still need a clear answer from support.",delivery_order,high,train-delivery_order-high-01
Can you look into this for me: my temperature-sensitive medicine never arrived and the replacement is needed today.,delivery_order,high,train-delivery_order-high-01
"The parcel contains broken glass and leaking chemicals, so it may be unsafe.",delivery_order,high,train-delivery_order-high-02
"Hi support, the parcel contains broken glass and leaking chemicals, so it may be unsafe.",delivery_order,high,train-delivery_order-high-02
"hey, the parcel contains broken glass and leaking chemicals, so it may be unsafe. can someone check?",delivery_order,high,train-delivery_order-high-02
"The parcel contains broken glass and leaking chemicals, so it may be unsafe. I checked the help page and tried the usual steps, but I still need a clear answer from support.",delivery_order,high,train-delivery_order-high-02
"Can you look into this for me: the parcel contains broken glass and leaking chemicals, so it may be unsafe.",delivery_order,high,train-delivery_order-high-02
A valuable package was marked delivered to a stranger and is now missing.,delivery_order,high,train-delivery_order-high-03
"Hi support, a valuable package was marked delivered to a stranger and is now missing.",delivery_order,high,train-delivery_order-high-03
"hey, a valuable package was marked delivered to a stranger and is now missing. can someone check?",delivery_order,high,train-delivery_order-high-03
"A valuable package was marked delivered to a stranger and is now missing. I checked the help page and tried the usual steps, but I still need a clear answer from support.",delivery_order,high,train-delivery_order-high-03
Can you look into this for me: a valuable package was marked delivered to a stranger and is now missing.,delivery_order,high,train-delivery_order-high-03
The courier left my passport shipment at the wrong building.,delivery_order,high,train-delivery_order-high-04
"Hi support, the courier left my passport shipment at the wrong building.",delivery_order,high,train-delivery_order-high-04
"hey, the courier left my passport shipment at the wrong building. can someone check?",delivery_order,high,train-delivery_order-high-04
"The courier left my passport shipment at the wrong building. I checked the help page and tried the usual steps, but I still need a clear answer from support.",delivery_order,high,train-delivery_order-high-04
Can you look into this for me: the courier left my passport shipment at the wrong building.,delivery_order,high,train-delivery_order-high-04
An essential medical device is lost after the tracking stopped for a week.,delivery_order,high,train-delivery_order-high-05
"Hi support, an essential medical device is lost after the tracking stopped for a week.",delivery_order,high,train-delivery_order-high-05
"hey, an essential medical device is lost after the tracking stopped for a week. can someone check?",delivery_order,high,train-delivery_order-high-05
"An essential medical device is lost after the tracking stopped for a week. I checked the help page and tried the usual steps, but I still need a clear answer from support.",delivery_order,high,train-delivery_order-high-05
Can you look into this for me: an essential medical device is lost after the tracking stopped for a week.,delivery_order,high,train-delivery_order-high-05
The food delivery arrived with damaged packaging and signs of contamination.,delivery_order,high,train-delivery_order-high-06
"Hi support, the food delivery arrived with damaged packaging and signs of contamination.",delivery_order,high,train-delivery_order-high-06
"hey, the food delivery arrived with damaged packaging and signs of contamination. can someone check?",delivery_order,high,train-delivery_order-high-06
"The food delivery arrived with damaged packaging and signs of contamination. I checked the help page and tried the usual steps, but I still need a clear answer from support.",delivery_order,high,train-delivery_order-high-06
Can you look into this for me: the food delivery arrived with damaged packaging and signs of contamination.,delivery_order,high,train-delivery_order-high-06
A live-saving prescription parcel is missing and the patient has no spare supply.,delivery_order,high,train-delivery_order-high-07
"Hi support, a live-saving prescription parcel is missing and the patient has no spare supply.",delivery_order,high,train-delivery_order-high-07
"hey, a live-saving prescription parcel is missing and the patient has no spare supply. can someone check?",delivery_order,high,train-delivery_order-high-07
"A live-saving prescription parcel is missing and the patient has no spare supply. I checked the help page and tried the usual steps, but I still need a clear answer from support.",delivery_order,high,train-delivery_order-high-07
Can you look into this for me: a live-saving prescription parcel is missing and the patient has no spare supply.,delivery_order,high,train-delivery_order-high-07
The courier delivered a badly crushed gas canister that could be dangerous.,delivery_order,high,train-delivery_order-high-08
"Hi support, the courier delivered a badly crushed gas canister that could be dangerous.",delivery_order,high,train-delivery_order-high-08
"hey, the courier delivered a badly crushed gas canister that could be dangerous. can someone check?",delivery_order,high,train-delivery_order-high-08
"The courier delivered a badly crushed gas canister that could be dangerous. I checked the help page and tried the usual steps, but I still need a clear answer from support.",delivery_order,high,train-delivery_order-high-08
Can you look into this for me: the courier delivered a badly crushed gas canister that could be dangerous.,delivery_order,high,train-delivery_order-high-08
How much is standard delivery to Kuala Lumpur?,delivery_order,low,train-delivery_order-low-01
"Hi support, how much is standard delivery to Kuala Lumpur?",delivery_order,low,train-delivery_order-low-01
"hey, how much is standard delivery to Kuala Lumpur? can someone check?",delivery_order,low,train-delivery_order-low-01
